#options: 1280x720 fps=25/1 timebase=1/25 bitdepth=8 cabac=0 ref=1 deblock=0:0:0 analyse=0x1:0 me=dia subme=2 psy=1 psy_rd=1.00:0.00 mixed_ref=0 me_range=16 chroma_me=1 trellis=0 8x8dct=0 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=0 threads=12 lookahead_threads=5 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=8 b_pyramid=2 b_adapt=2 b_bias=0 direct=3 weightb=0 open_gop=0 weightp=0 keyint=250 keyint_min=25 scenecut=40 intra_refresh=0 rc_lookahead=60 rc=abr mbtree=1 bitrate=2000 ratetol=1.0 qcomp=0.60 qpmin=0 qpmax=69 qpstep=4 ip_ratio=1.40 aq=1:1.00
in:77 out:76 type:P dur:2 cpbdur:2 q:33.15 aq:27.96 tex:87712 mv:28870 misc:3434 imb:2189 pmb:538 smb:873 d:s ref:0 ;
in:76 out:77 type:b dur:2 cpbdur:2 q:33.05 aq:29.41 tex:54895 mv:26298 misc:3431 imb:818 pmb:1438 smb:1344 d:s ref:0 ;
in:79 out:78 type:P dur:2 cpbdur:2 q:33.34 aq:27.34 tex:81415 mv:27090 misc:3431 imb:2094 pmb:494 smb:1012 d:s ref:0 ;
in:78 out:79 type:b dur:2 cpbdur:2 q:33.24 aq:29.83 tex:49916 mv:25336 misc:3396 imb:600 pmb:1500 smb:1500 d:s ref:0 ;
in:82 out:80 type:P dur:2 cpbdur:2 q:33.51 aq:28.27 tex:82280 mv:28116 misc:3412 imb:2156 pmb:502 smb:942 d:s ref:0 ;
in:80 out:81 type:B dur:2 cpbdur:2 q:33.40 aq:29.45 tex:52795 mv:25778 misc:3483 imb:725 pmb:1436 smb:1439 d:s ref:0 ;
in:81 out:82 type:b dur:2 cpbdur:2 q:33.45 aq:29.63 tex:44010 mv:23381 misc:3289 imb:597 pmb:1367 smb:1636 d:- ref:0 ;
in:84 out:83 type:P dur:2 cpbdur:2 q:33.70 aq:28.96 tex:76241 mv:28178 misc:3445 imb:1955 pmb:572 smb:1073 d:s ref:0 ;
in:83 out:84 type:b dur:2 cpbdur:2 q:33.61 aq:30.41 tex:43716 mv:24581 misc:3311 imb:583 pmb:1423 smb:1594 d:s ref:0 ;
in:86 out:85 type:P dur:2 cpbdur:2 q:33.80 aq:28.15 tex:76495 mv:28468 misc:3437 imb:2202 pmb:526 smb:872 d:s ref:0 ;
in:85 out:86 type:b dur:2 cpbdur:2 q:33.75 aq:30.68 tex:40575 mv:23157 misc:3404 imb:610 pmb:1419 smb:1571 d:s ref:0 ;
in:89 out:87 type:P dur:2 cpbdur:2 q:33.85 aq:27.80 tex:75448 mv:27860 misc:3412 imb:2249 pmb:452 smb:899 d:s ref:0 ;
in:87 out:88 type:B dur:2 cpbdur:2 q:33.82 aq:29.66 tex:46972 mv:25668 misc:3440 imb:789 pmb:1388 smb:1423 d:s ref:0 ;
in:88 out:89 type:b dur:2 cpbdur:2 q:33.83 aq:30.53 tex:39333 mv:24033 misc:3442 imb:596 pmb:1431 smb:1573 d:- ref:0 ;
in:91 out:90 type:P dur:2 cpbdur:2 q:34.01 aq:28.63 tex:70062 mv:26188 misc:3398 imb:1937 pmb:550 smb:1113 d:s ref:0 ;
in:90 out:91 type:b dur:2 cpbdur:2 q:33.93 aq:30.24 tex:40758 mv:22259 misc:3303 imb:642 pmb:1341 smb:1617 d:s ref:0 ;
in:94 out:92 type:P dur:2 cpbdur:2 q:34.09 aq:29.11 tex:79578 mv:29532 misc:3506 imb:2385 pmb:460 smb:755 d:s ref:0 ;
in:92 out:93 type:B dur:2 cpbdur:2 q:34.03 aq:29.37 tex:52095 mv:26264 misc:3577 imb:838 pmb:1476 smb:1286 d:s ref:0 ;
